.,Type,Vendor,Model,Serial number,CPU,Memory,GB,Grading,Comments,Repairs,Locked,Locked to,kan sælges på Refurbed,Keyboard,Battery,Battery threshold,Internal
1,Desktop,Lenovo,ThinkCentre M73 Micro,PC05XZL7,i5-4590T,16 GB DDR3,500 GB HDD,B,"Normal W&T, can't install Windows 11",,,,FALSE,,,,January '26
1,Desktop,Dell,Optiplex 7000 Micro,1TB2HR3,i7-12700T,16 GB DDR4,512 GB,C,"Normal W&T, Scratches (Front Cover)",,MAR,,TRUE,,,,December '25
1,Laptop,Dell,Latitude 5410,6BMGP73,i7-10610U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover), Marks on Screen",,No,,FALSE,German,0.63,Below,January '26
1,Laptop,Dell,Latitude 5410,9GM0043,i7-10610U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover)",,No,,FALSE,French,0.71,Below,January '26
1,Laptop,Dell,Latitude 5410,FMFQN73,i7-10610U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover & Bezel)",,No,,FALSE,Belgian,64.00%,Below,January '26
1,Laptop,Dell,Latitude 5420,19V86J3,i7-1185G7,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover), Cracked Bottom Cover, Worn Keyboard, Defective USB-C Port",,Yes,GBT,FALSE,English UK,49.00%,Below,January '26
1,Laptop,Dell,Latitude 5420,38G46J3,i7-1185G7,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover), Marks on Screen",,Yes,GBT,FALSE,English UK,56.00%,Below,January '26
1,Laptop,Dell,Latitude 5420,HY836J3,i7-1185G7,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Palmrest, Top & Bottom Cover), Whitespots on Screen",,Yes,GBT,FALSE,French,64.00%,Below,January '26
1,Laptop,Dell,Latitude 5420,699C5M3,i7-1185G7,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy tear (Top & Bottom Cover), Marks on Screen",,Yes,GBT,FALSE,English UK,59.00%,Below,January '26
1,Laptop,Dell,Latitude 5420,875Q5J3,i7-1185G7,16 GB DDR4,256 GB NVMe,D,"N W&T, Heavy Tear (Top & Bottom Cover), Metlting Damage (Top Cover), Worn Key (Alt), Whitesspots",,Yes,GBT,FALSE,English UK,59.00%,Below,January '26
1,Laptop,Dell,Latitude 5420,C49L4J3,i7-1185G7,16 GB DDR4,256 GB NVMe,B,Normal W&T,,Yes,GBT,FALSE,French,93.00%,Above,January '26
1,Laptop,Dell,Latitude 5420,132K4J3,i7-1185G7,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Palmrest, Top & Bottom Cover), Marks on Screen",,Yes,GBT,FALSE,German,97.00%,Above,January '26
1,Laptop,Dell,Latitude 5420,6SWMMN3,i7-1185G7,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Palmrest, Top & Bottom Cover)",,Yes,GBT,FALSE,Spanish,62.00%,Below,January '26
1,Laptop,Dell,Latitude 5420,9L903M3,i7-1185G7,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top & Bottom Cover), Broken Bezel, Marks on Screen",,Yes,GBT,FALSE,English UK,69.00%,Below,January '26
1,Laptop,Dell,Latitude 5420,9M3C5M3,i7-1185G7,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover & Palmrest), Worn Keys (E,R,T,A,S,D,H,L,K,C,V,N,M)",,Yes,GBT,FALSE,English UK,62.00%,Below,January '26
1,Laptop,Dell,Latitude 5420,5KGJ6M3,i7-1185G7,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Whitespots on Screen",,Yes,GBT,FALSE,English International,64.00%,Below,January '26
1,Laptop,Dell,Latitude 5400,FL9XP13,i7-8665U,16 GB DDR4,256 GB,C,"Normal W&T, Marks on Screen, Crashes in Certus",,No,,FALSE,English UK/Irish,N/A,N/A,January '26
